Name;Muscle Group;Detailed Muscle Group;Other Muscle Groups;Type;Mechanics;Equipment;;
Dumbbell Incline Tricep Extension;Triceps;null;Shoulders;Strength;Isolation;Dumbbell;Intermediate;The dumbbell incline triceps extension exercise uses an incline bench to target the tricep muscles. Steps : 1.) Start off grabbing a dumbbell in each hand and lie against an incline bench, face up with your feet firmly planted on the floor in front of you. 2.) Extend your arms over your shoulders with your palms facing each other and then slowly lower the dumbbells behind your head by bending your elbows. 3.) Hold this position for a count. 4.) Then with a controlled motion raise your arms back up to the starting position. 5.) Repeat for as many reps and sets as desired.
Dumbbell Inner Bicep Curl;Biceps;null;null;Strength;Isolation;Dumbbell;Beginner;Steps : 1.) To begin this exercise: sit down on a flat bench at the very edge with a dumbbell in each hand and elbows close to the pelvis. 2.) Keep the palms of the hands so that they are facing inward towards the body. 3.) Curl the dumbbell out and up, keeping the forearms lined up with the deltoids. 4.) Continue performing until the biceps are fully contracted and squeeze tightly, holding for a few seconds then bring back down to the starting positions. 5.) Repeat this exercise for as many repetitions as needed.
Dumbbell Iron Cross;Upper Legs;Hamstrings;Shoulders , Glutes;Strength;Compound;Dumbbell;Intermediate;The iron cross exercise is an advanced workout that works and strengthens the whole body. Steps : 1.) Start by gripping a dumbbell in each hand, and stand in a low squat stance with your feet shoulder-width apart and arms held out in front of you with your palms facing in. 2.) Standing upright, move your arms out and away from your body forming a T or cross position. 3.) Hold for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired. Tips : 1.) Do this exercise with light weights until you are comfortable with the motion.
Dumbbell Jump Squat;Upper Legs;null;Glutes , Lower Legs;Strength;Compound;Dumbbell;Intermediate;Steps : 1.) Start by standing up straight, feet shoulder width apart and holding a dumbbell in each hand at your sides with a neutral grip. 2.) Slightly bend with your knees, keeping your back straight and chest pushed out. 3.) Squat down until your thighs are parallel with the floor, then explode upward driving the balls of your feet into the floor and jumping as high as possible then returning back to the squatting position. 4.) Repeat for as many reps and sets as desired.
Dumbbell Kneeling Bicep Curl (Stability Ball);Biceps;null;Triceps , Abs;Strength;Compound;Dumbbell , Exercise Ball;Intermediate;Steps : 1.) Start off kneeling on an exercise ball, making sure that you find and get your balance first, with a dumbbell in one of your hands. 2.) Hold the dumbbell palms up at hip level and slowly curl the weight to chest level, pause and then lower back down to the starting position under control. 3.) Repeat for the number of reps and sets desired and switch arms.
Dumbbell Kneeling Lateral Raise (Stability Ball);Shoulders;null;Abs;Strength;Compound;Dumbbell;Intermediate;Steps : 1.) Start by kneeling on an exercise ball, keeping your body upright with your arms at your sides holding a dumbbell in each hand. 2.) Slowly extend and lift your arms to about shoulder height and then return back to the start, repeating for as many reps and sets as desired.
Dumbbell Lateral Lunge with Bicep Curl;Upper Legs;Hamstrings;Biceps , Glutes;Strength;Compound;Dumbbell;Intermediate;The lateral lunge with a dumbbell bicep curl exercise is an advanced workout that combines a lateral lunge with a bicep curl Steps : 1.) Start by grabbing a dumbbell in each hand with your palms facing up and standing up straight with your feet together, your back straight and your abs drawn in. 2.) Allow your arms to extend down fully in front of your thighs. 3.) While keeping your body straight, take a step sideways and then bend your waist and your knee into a lunge. 4.) As you go into the lunge curl your arms up towards your shoulders contracting your biceps, squeezing the muscle. 5.) Hold for a count and then return to starting position and switch legs. 6.) Repeat for as many reps and sets as desired.
Dumbbell Lateral Raise;Shoulders;Traps;null;Strength;Compound;Dumbbell;Beginner;The dumbbell lateral raise exercise helps build strong shoulders and muscle mass. Steps : 1.) Start off standing up straight with your feet shoulder-width apart, keeping your abs tight and holding a dumbbell in each hand with your palms facing towards your body. 2.) Slightly bend at your knees and then slowly raise your arms at your sides until your palms face the floor. 3.) Once you reach the top position, hold for a count, squeezing your shoulder muscles then return back to the starting position. Tips : 1.) You want to feel as if you are leading with your elbows. 2.) Refrain from swinging the weights as that is improper form and your shoulders should do the lifting, not by momentum.
Dumbbell Lateral Raise (Prone);Shoulders;Traps;null;Strength;Isolation;Dumbbell;Intermediate;The rear lateral raise exercise is one of the best ways to work your shoulders and build muscle mass. Steps : 1.) Start off by placing a dumbbell on each side of a incline bench and lie face down on the bench with your toes planted on the floor. 2.) Grab a dumbbell in each hand with your palms facing down and then raise your arms up until your elbows are at shoulder height. 3.) Hold for a count and keep your arms perpendicular to your chest then return back to the starting position. Tips : 1.) It is important to keep your wrists straight during the exercise and your elbows above your wrists. 2.) Refrain from swinging the dumbbells and lift using your shoulders.
Dumbbell Lateral Raise (Side-Lying);Shoulders;Traps;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) To begin this exercise: start off by holding a dumbbell in one hand and lying on your side on a flat bench. 2.) Have the dumbbell resting on the edge of the bench just across from your chest. 3.) Take the dumbbell and raise it with your arm until it is at shoulder height and parallel to the floor. 4.) Return the dumbbell back to the starting position. 5.) Repeat this exercise for as many repetitions as needed
Dumbbell Lateral Raise (Stability Ball);Shoulders;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start by sitting upright on an exercise ball, holding a dumbbell in each hand hanging down by your sides. 2.) Then laterally lift up both arms to about shoulder height, feeling tension in your shoulders and hold for a count. 3.) Return back to the starting position and repeat for as many reps and sets as desired.
Dumbbell Lunge;Upper Legs;Hamstrings;Lower Legs , Glutes;Strength;Compound;Dumbbell;Beginner;The dumbbell lunge exercise helps strengthen and build the legs through the use of dumbbells. Steps : 1.) Start by grabbing a dumbbell in each hand and standing with your feet about 8 inches apart and toes facing forward as this will be your starting position. 2.) Once in position take a step forward (about 2 to 3 feet), keeping your abs tightly drawn and and your upper body straight. 3.) Continue forward and slowly lower one knee down towards the ground and keeping the other knee bent at a 90 degree angle, not letting the back knee touch the ground. 4.) Slowly lower one knee down as if kneeling while keeping your other knee bent at a 90 degree angle, do not let your knee touch the ground. 5.) Hold the position for a count then return back up to the starting position. Tips : 1.) Refrain from putting the pressure of your body on one knee as this can cause imbalance and incorrectly performing this exercise. 2.) The knee you are leaning forward on should not move beyond the toe of this foot.
Dumbbell Lunge Tricep Extension;Triceps;null;Upper Legs , Lower Legs;Strength;Compound;Dumbbell;Intermediate;Steps : 1.) Start by standing up straight with your feet shoulder width apart holding dumbbells behind your head. 2.) Lunge forward with one leg by bending at your hips and keeping the other leg straight. 3.) Keep most of the weight and focus positioning the dumbbells on the lunging leg and do an overhead tricep extension, feeling a stretch in your muscles. 4.) Lower the weights slowly back down and then return back to the starting position, repeating in the opposite direction on the other leg. 5.) Repeat for as many reps and sets desired.
